keywords,12.29-12.31,1.1-1.3,1.4-1.6,1.7-1.9,1.10-1.12,1.13-1.15,1.16-1.18,1.19-1.21,1.22-1.24,1.25-1.27,1.28-1.30,1.31-2.2,2.3-2.5,2.6-2.8,2.9-2.11,2.12-2.14,2.15-2.17,2.18-2.20,2.21-2.23,2.24-2.26
油画,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
王菲,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
那英,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
李荣浩,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
自制,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
字幕,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0
星巴克,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
中国女排,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
春节,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
预定,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
防控,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0
疫情,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0
肺炎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
宋慧乔,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
快乐,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
生日,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
